Chicago Board of Trade,ICE Futures U.S.,New York Mercantile Exchange,Chicago Mercantile Exchange,Chicago Board Options Exchange,Commodity Exchange Incorporated
WHEAT-SRW,COTTON NO. 2,#2 HEATING OIL- NY HARBOR-ULSD,LEAN HOGS,VIX FUTURES,SILVER
CORN,FRZN CONCENTRATED ORANGE JUICE,NATURAL GAS,LIVE CATTLE,,COPPER-GRADE #1
SOYBEANS,COCOA,"CRUDE OIL, LIGHT SWEET",CANADIAN DOLLAR,,GOLD
U.S. TREASURY BONDS,SUGAR NO. 11,PALLADIUM,MEXICAN PESO,,
2-YEAR U.S. TREASURY NOTES,COFFEE C,PLATINUM,BRITISH POUND STERLING,,
10-YEAR U.S. TREASURY NOTES,U.S. DOLLAR INDEX,GASOLINE BLENDSTOCK (RBOB),JAPANESE YEN,,
5-YEAR U.S. TREASURY NOTES,MSCI EMERGING MKTS MINI INDEX,,EURO FX,,
30-DAY FEDERAL FUNDS,,,NEW ZEALAND DOLLAR,,
DOW JONES INDUSTRIAL AVG,,,3-MONTH EURODOLLARS,,
,,,BITCOIN ,,
,,,S&P 500 STOCK INDEX,,
,,,E-MINI S&P 500 STOCK INDEX,,
,,,NASDAQ-100 STOCK INDEX (MINI),,
,,,AUSTRALIAN DOLLAR,,
,,,E-MINI RUSSELL 2000 INDEX,,
,,,NIKKEI STOCK AVERAGE YEN DENOM,,
